Date,"Total Cases","New Cases","New Cases 7-Day Moving Average","Case Growth","Cases Growth 7DMA","Total Deaths","New Deaths","New Deaths 7DMA","Death Growth","Death Growth 7DMA","Total Recoveries","New Recoveries","Recovery Rate","Active Cases","Case Fatality Rate (CFR)","Adjusted CFR","Total Deaths per MM Population","Total Cases per MM Population","Active Cases per ICU Bed"
2020-04-05,3246,152,261,4.91%,12.96%,152,8,12,5.56%,11.68%,64,7,1.97%,3030,4.68%,70.37%,1.39,29.62
2020-04-04,3094,76,288,2.52%,16.81%,144,8,11,5.88%,11.52%,57,5,1.84%,2893,4.65%,71.64%,1.31,28.23
2020-04-03,3018,385,316,14.62%,21.29%,136,29,12,27.1%,14.38%,52,1,1.72%,2830,4.51%,72.34%,1.24,27.54
2020-04-02,2633,322,275,13.93%,21.14%,107,11,9,11.46%,13.37%,51,1,1.94%,2475,4.06%,67.72%,0.98,24.03
2020-04-01,2311,227,239,10.89%,20.75%,96,8,8,9.09%,14.36%,50,1,2.16%,2165,4.15%,65.75%,0.88,21.09
2020-03-31,2084,538,219,34.8%,21.37%,88,10,8,12.82%,14.29%,49,7,2.35%,1947,4.22%,64.23%,0.8,19.02
2020-03-30,1546,128,155,9.03%,19.18%,78,7,6,9.86%,13.32%,42,0,2.72%,1426,5.05%,65%,0.71,14.11
2020-03-29,1418,343,148,31.91%,20.97%,71,3,7,4.41%,16.48%,42,7,2.96%,1305,5.01%,62.83%,0.65,12.94
2020-03-28,1075,272,110,33.87%,19.81%,68,14,7,25.93%,20.37%,35,4,3.26%,972,6.33%,66.02%,0.62,9.81
2020-03-27,803,96,82,13.58%,19.75%,54,9,5,20%,17.46%,31,3,3.86%,718,6.72%,63.53%,0.49,7.33
2020-03-26,707,71,70,11.16%,18.67%,45,7,4,18.42%,15.44%,28,2,3.96%,634,6.36%,61.64%,0.41,6.45
2020-03-25,636,84,62,15.22%,18.14%,38,3,3,8.57%,11.3%,26,6,4.09%,572,5.97%,59.38%,0.35,5.8
2020-03-24,552,90,52,19.48%,17.11%,35,2,3,6.06%,18.41%,20,2,3.62%,497,6.34%,63.64%,0.32,5.04
2020-03-23,462,82,46,21.58%,18.85%,33,8,3,32%,17.55%,18,1,3.9%,411,7.14%,64.71%,0.3,4.22
2020-03-22,380,73,34,23.78%,15.97%,25,6,2,31.58%,14.27%,17,4,4.47%,338,6.58%,59.52%,0.23,3.47
2020-03-21,307,77,28,33.48%,16.31%,19,1,2,5.56%,15.12%,13,5,4.23%,275,6.19%,59.38%,0.17,2.8
2020-03-20,230,13,24,5.99%,22.02%,18,1,2,5.88%,22.9%,8,0,3.48%,204,7.83%,69.23%,0.16,2.1
2020-03-19,217,15,24,7.43%,24.46%,17,-2,2,-10.53%,43.48%,8,3,3.69%,192,7.83%,68%,0.16,1.98
2020-03-18,202,15,22,8.02%,24.27%,19,7,3,58.33%,59.27%,5,0,2.48%,178,9.41%,79.17%,0.17,1.84
2020-03-17,187,45,22,31.69%,30.05%,12,0,2,0,50.94%,5,3,2.67%,170,6.42%,70.59%,0.11,1.71
2020-03-16,142,2,17,1.43%,34.81%,12,1,2,9.09%,50.94%,2,0,1.41%,128,8.45%,85.71%,0.11,1.3
2020-03-15,140,29,19,26.13%,48.89%,11,3,1,37.5%,49.64%,2,0,1.43%,127,7.86%,84.62%,0.1,1.28
2020-03-14,111,47,15,73.44%,54.68%,8,3,1,60%,44.29%,2,0,1.8%,101,7.21%,80%,0.07,1.01
2020-03-13,64,12,8,23.08%,47.05%,5,3,1,150%,35.71%,2,0,3.13%,57,7.81%,71.43%,0.05,0.58
2020-03-12,52,3,7,6.12%,53.28%,2,1,0,100%,14.29%,2,0,3.85%,48,3.85%,50%,0.02,0.47
2020-03-11,49,16,7,48.48%,52.4%,1,0,0,0,0,2,0,4.08%,46,2.04%,33.33%,0.01,0.45
2020-03-10,33,13,4,65%,45.48%,1,0,0,0,0,2,1,6.06%,30,3.03%,33.33%,0.01,0.3
2020-03-09,20,10,2,100%,36.19%,1,0,0,0,0,1,0,5%,18,5%,50%,0.01,0.18
2020-03-08,10,4,1,66.67%,21.91%,1,0,0,0,0,1,0,10%,8,10%,50%,0.01,0.09
2020-03-07,6,1,0,20%,12.38%,1,0,0,0,0,1,0,16.67%,4,16.67%,50%,0.01,0.05
2020-03-06,5,2,0,66.67%,9.52%,1,0,0,0,0,1,0,20%,3,20%,50%,0.01,0.05
2020-03-05,3,0,0,0,0,1,0,0,0,0,1,0,33.33%,1,33.33%,50%,0.01,0.03
2020-03-04,3,0,0,0,0,1,0,0,0,0,1,0,33.33%,1,33.33%,50%,0.01,0.03
2020-03-03,3,0,0,0,0,1,0,0,0,0,1,0,33.33%,1,33.33%,50%,0.01,0.03
2020-03-02,3,0,0,0,0,1,0,0,0,0,1,0,33.33%,1,33.33%,50%,0.01,0.03
2020-03-01,3,0,0,0,0,1,0,0,0,0,1,0,33.33%,1,33.33%,50%,0.01,0.03
2020-02-29,3,0,0,0,0,1,0,0,0,0,1,0,33.33%,1,33.33%,50%,0.01,0.03
2020-02-28,3,0,0,0,0,1,0,0,0,0,1,0,33.33%,1,33.33%,50%,0.01,0.03
2020-02-27,3,0,0,0,0,1,0,0,0,0,1,0,33.33%,1,33.33%,50%,0.01,0.03
2020-02-26,3,0,0,0,0,1,0,0,0,0,1,0,33.33%,1,33.33%,50%,0.01,0.03
2020-02-25,3,0,0,0,0,1,0,0,0,0,1,0,33.33%,1,33.33%,50%,0.01,0.03
2020-02-24,3,0,0,0,0,1,0,0,0,0,1,0,33.33%,1,33.33%,50%,0.01,0.03
2020-02-23,3,0,0,0,0,1,0,0,0,0,1,0,33.33%,1,33.33%,50%,0.01,0.03
2020-02-22,3,0,0,0,0,1,0,0,0,0,1,0,33.33%,1,33.33%,50%,0.01,0.03
2020-02-21,3,0,0,0,0,1,0,0,0,0,1,0,33.33%,1,33.33%,50%,0.01,0.03
2020-02-20,3,0,0,0,0,1,0,0,0,0,1,0,33.33%,1,33.33%,50%,0.01,0.03
2020-02-19,3,0,0,0,0,1,0,0,0,0,1,0,33.33%,1,33.33%,50%,0.01,0.03
2020-02-18,3,0,0,0,0,1,0,0,0,0,1,0,33.33%,1,33.33%,50%,0.01,0.03
2020-02-17,3,0,0,0,0,1,0,0,0,0,1,0,33.33%,1,33.33%,50%,0.01,0.03
2020-02-16,3,0,0,0,0,1,0,0,0,0,1,0,33.33%,1,33.33%,50%,0.01,0.03
2020-02-15,3,0,0,0,0,1,0,0,0,0,1,0,33.33%,1,33.33%,50%,0.01,0.03
